,antecedente,consecuente,Cassual-supp,Cassual-conf,Max-conf
0,"gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [80, 159] ∧ race = Asian ",hypertension = Si ,0.9257508307730892,0.9628749498394864,1.0
1,"gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [80, 159] ∧ race = Asian ",hypertension = Si ,0.9257508307730892,0.9628749498394864,1.0
2,"gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ∧ diabetes = No ","smoking_history = not current ∧ bmi = [25, 29.99] ",0.8203398332183836,0.9101676636193772,1.0
3,"gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ hypertension = No ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ∧ diabetes = No ","smoking_history = not current ∧ bmi = [25, 29.99] ",0.8203398332183836,0.9101676636193772,1.0
4,"gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ heart_disease = No ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ","smoking_history = not current ∧ bmi = [25, 29.99] ",0.8203398332183836,0.9101676636193772,1.0
5,"gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ","smoking_history = not current ∧ bmi = [25, 29.99] ",0.8203398332183836,0.9101676636193772,1.0
6,"age = [10, 19] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ∧ diabetes = No ∧ race = Other ","gender = Female ∧ smoking_history = not current ∧ bmi = [25, 29.99] ",0.9176123894915041,0.9588056781701444,1.0
7,"age = [10, 19] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ∧ diabetes = No ∧ race = Other ","gender = Female ∧ smoking_history = not current ∧ bmi = [25, 29.99] ",0.9176123894915041,0.9588056781701444,1.0
8,"age = [10, 19] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ∧ diabetes = No ∧ race = Other ","gender = Female ∧ smoking_history = not current ∧ bmi = [25, 29.99] ",0.9176123894915041,0.9588056781701444,1.0
9,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ diabetes = No ∧ race = Asian ","gender = Female ∧ blood_glucose_level = [80, 159] ",0.5214747006081886,0.7607223476297968,1.0
10,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ diabetes = No ∧ race = Asian ","gender = Female ∧ blood_glucose_level = [80, 159] ",0.5214747006081886,0.7607223476297968,1.0
11,"age = [20, 59] ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ diabetes = No ∧ race = Asian ","gender = Female ∧ blood_glucose_level = [80, 159] ",0.5214747006081886,0.7607223476297968,1.0
12,"age = [20, 59] ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ diabetes = No ∧ race = Asian ","gender = Female ∧ blood_glucose_level = [80, 159] ",0.5214747006081886,0.7607223476297968,1.0
13,diabetes = No ,"blood_glucose_level = [80, 159] ",0.8226471879114678,0.6978132562990846,0.9531565092901895
14,diabetes = No ,"blood_glucose_level = [80, 159] ",0.8226471879114678,0.6978132562990846,0.9531565092901895
15,"gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [80, 159] ∧ race = Asian ",hypertension = Si ,0.9257508307730892,0.9628749498394864,1.0
16,"gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ∧ diabetes = No ","smoking_history = not current ∧ bmi = [25, 29.99] ",0.8203398332183836,0.9101676636193772,1.0
17,"gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ∧ diabetes = No ","smoking_history = not current ∧ bmi = [25, 29.99] ",0.8203398332183836,0.9101676636193772,1.0
18,"gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ heart_disease = No ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ","smoking_history = not current ∧ bmi = [25, 29.99] ",0.8203398332183836,0.9101676636193772,1.0
19,"gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ heart_disease = No ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ","smoking_history = not current ∧ bmi = [25, 29.99] ",0.8203398332183836,0.9101676636193772,1.0
20,"age = [10, 19] ∧ location = Wisconsin ∧ hypertension = No ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ∧ diabetes = No ∧ race = Other ","gender = Female ∧ smoking_history = not current ∧ bmi = [25, 29.99] ",0.9176123894915041,0.9588056781701444,1.0
