,antecedente,consecuente,Jaccard,Coseno,Phi,Kappa
0,hypertension = No ∧ heart_disease = No ,diabetes = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
1,hypertension = No ∧ heart_disease = No ,diabetes = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
2,hypertension = No ∧ heart_disease = No ,diabetes = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
3,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
4,diabetes = No ,hypertension = No ,0.8804553836697059,0.9364419087622199,1.1991804818460843,1.1987043965603161
5,diabetes = No ,"blood_glucose_level = [80, 159] ",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975
6,diabetes = No ,"blood_glucose_level = [80, 159] ",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975
7,diabetes = No ,"blood_glucose_level = [80, 159] ",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975
8,hypertension = No ∧ heart_disease = No ,diabetes = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
9,hypertension = No ∧ heart_disease = No ,diabetes = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
10,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
11,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
12,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
13,diabetes = No ,"blood_glucose_level = [80, 159] ",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975
14,diabetes = No ,"blood_glucose_level = [80, 159] ",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975
15,hypertension = No ∧ heart_disease = No ,diabetes = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
16,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
17,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
18,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
19,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
20,diabetes = No ,"blood_glucose_level = [80, 159] ",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975
21,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
22,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
23,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
24,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
25,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
26,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
27,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
28,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
29,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
30,heart_disease = No ,gender = Female ,0.5831684694637856,0.7594850472273599,1.077792113475652,1.035400731008405
31,heart_disease = No ,gender = Female ,0.5831684694637856,0.7594850472273599,1.077792113475652,1.035400731008405
32,heart_disease = No ,gender = Female ,0.5831684694637856,0.7594850472273599,1.077792113475652,1.035400731008405
33,heart_disease = No ,gender = Female ,0.5831684694637856,0.7594850472273599,1.077792113475652,1.035400731008405
34,heart_disease = No ,gender = Female ,0.5831684694637856,0.7594850472273599,1.077792113475652,1.035400731008405
35,heart_disease = No ,gender = Female ,0.5831684694637856,0.7594850472273599,1.077792113475652,1.035400731008405
36,hypertension = No ∧ heart_disease = No ,diabetes = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
37,hypertension = No ∧ heart_disease = No ,diabetes = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
38,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
39,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
40,heart_disease = No ∧ diabetes = No ,hypertension = No ,0.8639308577095973,0.9271896779364583,1.2207227607398088,1.2154113040972507
