,regla,Cassual-supp,Cassual-conf,Max-conf,solucion,semilla
0,"('gender = Female ∧ location = Wisconsin ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ∧ diabetes = No ', 'age = [0, 9] ')",0.9029531632077247,0.9514698873755236,1.0,Mejor_Cassual-supp,0
1,"('gender = Female ∧ location = Wisconsin ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ∧ diabetes = No ', 'age = [0, 9] ')",0.9029531632077247,0.9514698873755236,1.0,Mejor_Cassual-conf,0
2,"('gender = Female ∧ location = Wisconsin ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ∧ diabetes = No ', 'age = [0, 9] ')",0.9029531632077247,0.9514698873755236,1.0,Mejor_Max-conf,0
3,"('gender = Female ∧ location = Wisconsin ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ∧ diabetes = No ', 'age = [0, 9] ')",0.9029531632077247,0.9514698873755236,1.0,Rodilla,0
4,"('gender = Female ∧ age = [10, 19] ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [160, 199] ∧ race = Other ', 'location = Wisconsin ∧ hypertension = No ')",0.9805505047338391,0.7402812786075267,0.5,Mejor_Cassual-supp,0
5,"('gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ blood_glucose_level = [160, 199] ', 'bmi = [18.49] ')",0.915116935231049,0.9575542094636116,1.0,Mejor_Cassual-conf,0
6,"('gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ blood_glucose_level = [160, 199] ', 'bmi = [18.49] ')",0.915116935231049,0.9575542094636116,1.0,Mejor_Max-conf,0
7,"('gender = Female ∧ age = [10, 19] ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [160, 199] ∧ race = Other ', 'location = Wisconsin ∧ hypertension = No ')",0.9805505047338391,0.7402812786075267,0.5,Rodilla,0
8,"('gender = Female ∧ age = [20, 59] ∧ location = Wisconsin ∧ heart_disease = No ∧ bmi = [18.5, 24.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ', 'hypertension = No ∧ smoking_history = not current ')",0.9149789955483102,0.9574889646869984,1.0,Mejor_Cassual-supp,0
9,"('gender = Female ∧ age = [20, 59] ∧ location = Wisconsin ∧ heart_disease = No ∧ bmi = [18.5, 24.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ', 'hypertension = No ∧ smoking_history = not current ')",0.9149789955483102,0.9574889646869984,1.0,Mejor_Cassual-conf,0
10,"('gender = Female ∧ age = [20, 59] ∧ location = Wisconsin ∧ heart_disease = No ∧ bmi = [18.5, 24.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ', 'hypertension = No ∧ smoking_history = not current ')",0.9149789955483102,0.9574889646869984,1.0,Mejor_Max-conf,0
11,"('gender = Female ∧ age = [20, 59] ∧ location = Wisconsin ∧ heart_disease = No ∧ bmi = [18.5, 24.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ', 'hypertension = No ∧ smoking_history = not current ')",0.9149789955483102,0.9574889646869984,1.0,Rodilla,0
12,"('gender = Female ∧ age = [20, 59] ∧ hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [80, 159] ∧ diabetes = No ∧ race = Caucasian ', 'location = Wisconsin ')",0.987898927832466,0.549603995858088,0.1111111111111111,Mejor_Cassual-supp,0
13,"('gender = Female ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ∧ diabetes = No ', 'age = [0, 9] ')",0.9029531632077247,0.9514698873755236,1.0,Mejor_Cassual-conf,0
14,"('gender = Female ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ∧ diabetes = No ', 'age = [0, 9] ')",0.9029531632077247,0.9514698873755236,1.0,Mejor_Max-conf,0
15,"('gender = Female ∧ age = [20, 59] ∧ hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [80, 159] ∧ diabetes = No ∧ race = Caucasian ', 'location = Wisconsin ')",0.987898927832466,0.549603995858088,0.1111111111111111,Rodilla,0
16,"('gender = Female ∧ age = [60] ∧ hypertension = Si ∧ bmi = [30] ∧ hbA1c_level = [5.7, 6.4] ∧ race = Asian ', 'location = Wisconsin ∧ heart_disease = Si ∧ smoking_history = not current ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ')",0.9991849018747256,0.5075757575757576,1.0,Mejor_Cassual-supp,0
17,"('age = [20, 59] ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [18.49] ∧ blood_glucose_level = [80, 159] ∧ race = Other ', 'location = Wisconsin ')",0.979948586118252,0.9899741673354735,1.0,Mejor_Cassual-conf,0
18,"('age = [20, 59] ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [18.49] ∧ blood_glucose_level = [80, 159] ∧ race = Other ', 'location = Wisconsin ')",0.979948586118252,0.9899741673354735,1.0,Mejor_Max-conf,0
19,"('gender = Female ∧ age = [60] ∧ hypertension = Si ∧ bmi = [30] ∧ hbA1c_level = [5.7, 6.4] ∧ race = Asian ', 'location = Wisconsin ∧ heart_disease = Si ∧ smoking_history = not current ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ')",0.9991849018747256,0.5075757575757576,1.0,Rodilla,0
20,"('heart_disease = No ', 'hypertension = No ')",0.9049720985641733,0.5847898501394161,0.9674491689581838,Mejor_Cassual-supp,0
21,"('age = [20, 59] ∧ location = Wisconsin ∧ hypertension = Si ∧ blood_glucose_level = [80, 159] ∧ race = Asian ', 'bmi = [30] ∧ diabetes = No ')",0.807185403473572,0.9035854475225422,1.0,Mejor_Cassual-conf,0
22,"('age = [20, 59] ∧ location = Wisconsin ∧ hypertension = Si ∧ blood_glucose_level = [80, 159] ∧ race = Asian ', 'bmi = [30] ∧ diabetes = No ')",0.807185403473572,0.9035854475225422,1.0,Mejor_Max-conf,0
23,"('diabetes = No ', 'hypertension = No ')",0.8829393692394507,0.593955270891722,0.941589744994385,Rodilla,0
24,"('heart_disease = No ', 'diabetes = No ')",0.901699166091918,0.624485113931553,0.9708154153770303,Mejor_Cassual-supp,0
25,"('age = [10, 19] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [18.49] ∧ race = Other ', 'gender = Female ∧ hypertension = No ∧ heart_disease = No ∧ hbA1c_level = [5.6] ')",0.8607436202896733,0.9303709369983948,1.0,Mejor_Cassual-conf,0
26,"('age = [10, 19] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [18.49] ∧ race = Other ', 'gender = Female ∧ hypertension = No ∧ heart_disease = No ∧ hbA1c_level = [5.6] ')",0.8607436202896733,0.9303709369983948,1.0,Mejor_Max-conf,0
27,"('hypertension = No ', 'heart_disease = No ∧ diabetes = No ')",0.8675277446861872,0.6322629526945716,0.9461960585156658,Rodilla,0
28,"('gender = Female ∧ age = [20, 59] ∧ hypertension = Si ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [80, 159] ∧ diabetes = No ∧ race = Caucasian ', 'location = Wisconsin ')",0.9799235061759358,0.5899862051667921,0.2,Mejor_Cassual-supp,0
29,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ smoking_history = not current ∧ hbA1c_level = [6.5] ∧ race = Hispanic ', 'diabetes = Si ')",0.91569377390432,0.9578447724508095,1.0,Mejor_Cassual-conf,0
30,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ smoking_history = not current ∧ hbA1c_level = [6.5] ∧ race = Hispanic ', 'diabetes = Si ')",0.91569377390432,0.9578447724508095,1.0,Mejor_Max-conf,0
31,"('gender = Female ∧ age = [20, 59] ∧ hypertension = Si ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [80, 159] ∧ diabetes = No ∧ race = Caucasian ', 'location = Wisconsin ')",0.9799235061759358,0.5899862051667921,0.2,Rodilla,0
32,"('heart_disease = No ', 'diabetes = No ')",0.901699166091918,0.624485113931553,0.9708154153770303,Mejor_Cassual-supp,0
33,"('gender = Female ∧ location = Wisconsin ∧ heart_disease = No ∧ smoking_history = not current ∧ hbA1c_level = [5.6] ∧ race = Hispanic ', 'bmi = [30] ∧ blood_glucose_level = [80, 159] ')",0.8181954981503543,0.9090954691947882,1.0,Mejor_Cassual-conf,0
34,"('gender = Female ∧ location = Wisconsin ∧ heart_disease = No ∧ smoking_history = not current ∧ hbA1c_level = [5.6] ∧ race = Hispanic ', 'bmi = [30] ∧ blood_glucose_level = [80, 159] ')",0.8181954981503543,0.9090954691947882,1.0,Mejor_Max-conf,0
35,"('heart_disease = No ', 'diabetes = No ')",0.901699166091918,0.624485113931553,0.9708154153770303,Rodilla,0
36,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [80, 159] ∧ race = Asian ', 'hypertension = Si ')",0.9257508307730892,0.9628749498394864,1.0,Mejor_Cassual-supp,0
37,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [80, 159] ∧ race = Asian ', 'hypertension = Si ')",0.9257508307730892,0.9628749498394864,1.0,Mejor_Cassual-conf,0
38,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [80, 159] ∧ race = Asian ', 'hypertension = Si ')",0.9257508307730892,0.9628749498394864,1.0,Mejor_Max-conf,0
39,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [80, 159] ∧ race = Asian ', 'hypertension = Si ')",0.9257508307730892,0.9628749498394864,1.0,Rodilla,0
