,regla,Jaccard,Coseno,Phi,Kappa,solucion,semilla
0,"('diabetes = No ', 'hypertension = No ')",0.8804553836697059,0.9364419087622199,1.1991804818460843,1.1987043965603161,Mejor_Jaccard,0
1,"('diabetes = No ', 'hypertension = No ')",0.8804553836697059,0.9364419087622199,1.1991804818460843,1.1987043965603161,Mejor_Coseno,0
2,"('blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.8140571383494825,0.8990329359797151,1.2829363459614636,1.2562872353117975,Mejor_Phi,0
3,"('blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.8140571383494825,0.8990329359797151,1.2829363459614636,1.2562872353117975,Mejor_Kappa,0
4,"('diabetes = No ', 'hypertension = No ')",0.8804553836697059,0.9364419087622199,1.1991804818460843,1.1987043965603161,Rodilla,0
5,"('diabetes = No ', 'hypertension = No ∧ heart_disease = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Jaccard,17
6,"('diabetes = No ', 'hypertension = No ∧ heart_disease = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Coseno,17
7,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Phi,17
8,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Kappa,17
9,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Rodilla,17
10,"('diabetes = No ', 'heart_disease = No ')",0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622,Mejor_Jaccard,34
11,"('diabetes = No ', 'heart_disease = No ')",0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622,Mejor_Coseno,34
12,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Phi,34
13,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Kappa,34
14,"('diabetes = No ', 'heart_disease = No ')",0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622,Rodilla,34
15,"('hypertension = No ∧ heart_disease = No ', 'diabetes = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Jaccard,51
16,"('hypertension = No ∧ heart_disease = No ', 'diabetes = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Coseno,51
17,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Mejor_Phi,51
18,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Mejor_Kappa,51
19,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Rodilla,51
20,"('diabetes = No ', 'heart_disease = No ')",0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622,Mejor_Jaccard,68
21,"('diabetes = No ', 'heart_disease = No ')",0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622,Mejor_Coseno,68
22,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Phi,68
23,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Kappa,68
24,"('diabetes = No ', 'heart_disease = No ')",0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622,Rodilla,68
25,"('diabetes = No ', 'hypertension = No ∧ heart_disease = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Jaccard,85
26,"('diabetes = No ', 'hypertension = No ∧ heart_disease = No ')",0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215,Mejor_Coseno,85
27,"('blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.8140571383494825,0.8990329359797151,1.2829363459614636,1.2562872353117975,Mejor_Phi,85
28,"('blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.8140571383494825,0.8990329359797151,1.2829363459614636,1.2562872353117975,Mejor_Kappa,85
29,"('blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.8140571383494825,0.8990329359797151,1.2829363459614636,1.2562872353117975,Rodilla,85
30,"('diabetes = No ', 'hypertension = No ')",0.8804553836697059,0.9364419087622199,1.1991804818460843,1.1987043965603161,Mejor_Jaccard,102
31,"('diabetes = No ', 'hypertension = No ')",0.8804553836697059,0.9364419087622199,1.1991804818460843,1.1987043965603161,Mejor_Coseno,102
32,"('diabetes = No ', 'blood_glucose_level = [80, 159] ')",0.8140571383494825,0.8990329359797151,1.2829363459614633,1.2562872353117975,Mejor_Phi,102
