,regla,Cassual-supp,Cassual-conf,Max-conf,solucion,semilla
0,"('gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [80, 159] ', 'bmi = [18.49] ∧ diabetes = Si ∧ race = AfricanAmerican ')",0.9998871402595774,0.0,0.0,Mejor_Cassual-supp,0
1,"('gender = Female ∧ age = [10, 19] ∧ location = Wisconsin ∧ bmi = [25, 29.99] ∧ diabetes = No ∧ race = Asian ', 'hypertension = No ∧ smoking_history = not current ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [200] ')",0.9909085209104019,0.9954542034510434,1.0,Mejor_Cassual-conf,0
2,"('gender = Female ∧ age = [10, 19] ∧ location = Wisconsin ∧ bmi = [25, 29.99] ∧ diabetes = No ∧ race = Asian ', 'hypertension = No ∧ smoking_history = not current ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [200] ')",0.9909085209104019,0.9954542034510434,1.0,Mejor_Max-conf,0
3,"('gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [80, 159] ', 'bmi = [18.49] ∧ diabetes = Si ∧ race = AfricanAmerican ')",0.9998871402595774,0.0,0.0,Rodilla,0
4,"('gender = Female ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ hbA1c_level = [5.7, 6.4] ∧ diabetes = Si ∧ race = Hispanic ', 'age = [60] ∧ heart_disease = No ∧ bmi = [18.49] ∧ blood_glucose_level = [200] ')",0.9996865007210484,0.0,0.0,Mejor_Cassual-supp,0
5,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ bmi = [30] ∧ blood_glucose_level = [200] ', 'smoking_history = not current ')",0.9067151545551445,0.9533558225276517,1.0,Mejor_Cassual-conf,0
6,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ bmi = [30] ∧ blood_glucose_level = [200] ', 'smoking_history = not current ')",0.9067151545551445,0.9533558225276517,1.0,Mejor_Max-conf,0
7,"('gender = Female ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ hbA1c_level = [5.7, 6.4] ∧ diabetes = Si ∧ race = Hispanic ', 'age = [60] ∧ heart_disease = No ∧ bmi = [18.49] ∧ blood_glucose_level = [200] ')",0.9996865007210484,0.0,0.0,Rodilla,0
8,"('gender = Female ∧ location = Wisconsin ∧ heart_disease = No ∧ smoking_history = not current ∧ hbA1c_level = [5.6] ∧ race = Other ', 'age = [20, 59] ∧ hypertension = Si ∧ bmi = [18.49] ∧ diabetes = Si ')",1.0,0.0,0.0,Mejor_Cassual-supp,0
9,"('location = Wisconsin ∧ heart_disease = Si ∧ bmi = [25, 29.99] ∧ blood_glucose_level = [80, 159] ∧ diabetes = No ∧ race = Other ', 'gender = Female ∧ age = [60] ∧ smoking_history = not current ')",0.9700796288168537,0.9850390639696016,1.0,Mejor_Cassual-conf,0
