,antecedente,consecuente,Cassual-supp,Cassual-conf,Max-conf
0,heart_disease = No ,gender = Female ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ race = Hispanic ,0.039651388801805756,0.5000783340949149,1.0
1,heart_disease = No ,gender = Female ∧ hypertension = No ,0.5593203335632329,0.628289436191388,0.9784179304295639
2,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
3,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
4,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
5,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
6,"age = [20, 59] ∧ bmi = [18.49] ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ",gender = Female ∧ hypertension = No ,0.456893849144147,0.728402648873727,1.0
7,"age = [20, 59] ∧ bmi = [18.49] ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ",gender = Female ∧ hypertension = No ,0.456893849144147,0.728402648873727,1.0
8,"age = [20, 59] ∧ bmi = [18.49] ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ",gender = Female ∧ hypertension = No ,0.456893849144147,0.728402648873727,1.0
9,diabetes = No ,hbA1c_level = [5.6] ,0.463326854348235,0.7069421238598702,1.0
10,diabetes = No ,hbA1c_level = [5.6] ,0.463326854348235,0.7069421238598702,1.0
11,diabetes = No ,hbA1c_level = [5.6] ,0.463326854348235,0.7069421238598702,1.0
12,diabetes = No ,hbA1c_level = [5.6] ,0.463326854348235,0.7069421238598702,1.0
13,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ diabetes = No ∧ race = Other ","hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ",0.26233619662674773,0.6311079616715999,1.0
14,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ diabetes = No ∧ race = Other ","hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ",0.26233619662674773,0.6311079616715999,1.0
15,heart_disease = No ,gender = Female ,0.5931155558342216,0.5983948452849818,0.9732644397753099
16,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
17,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
18,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
19,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
20,"age = [20, 59] ∧ bmi = [18.49] ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ",gender = Female ∧ hypertension = No ,0.456893849144147,0.728402648873727,1.0
21,"age = [20, 59] ∧ bmi = [18.49] ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ",gender = Female ∧ hypertension = No ,0.456893849144147,0.728402648873727,1.0
22,"age = [20, 59] ∧ bmi = [18.49] ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ",gender = Female ∧ hypertension = No ,0.456893849144147,0.728402648873727,1.0
23,"age = [20, 59] ∧ bmi = [18.49] ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ",gender = Female ∧ hypertension = No ,0.456893849144147,0.728402648873727,1.0
24,diabetes = No ,hbA1c_level = [5.6] ,0.463326854348235,0.7069421238598702,1.0
25,diabetes = No ,hbA1c_level = [5.6] ,0.463326854348235,0.7069421238598702,1.0
26,diabetes = No ,hbA1c_level = [5.6] ,0.463326854348235,0.7069421238598702,1.0
27,diabetes = No ,hbA1c_level = [5.6] ,0.463326854348235,0.7069421238598702,1.0
28,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ diabetes = No ∧ race = Other ","hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ",0.26233619662674773,0.6311079616715999,1.0
29,hypertension = No ∧ heart_disease = No ,"age = [20, 59] ",0.5808013041570005,0.6046158283738794,0.9310008395162571
30,heart_disease = No ∧ diabetes = No ,"age = [20, 59] ",0.582042761301649,0.6039862071207412,0.9260771901163978
