,antecedente,consecuente,Cassual-supp,Cassual-conf,Max-conf
0,"age = [0, 9] ∧ heart_disease = No ∧ smoking_history = not current ∧ blood_glucose_level = [80, 159] ",hypertension = No ,0.08382970719167346,0.5374895545820567,1.0
1,"gender = Female ∧ age = [0, 9] ∧ blood_glucose_level = [80, 159] ",hypertension = No ,0.11397579785566493,0.5386664577293739,1.0
2,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
3,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
4,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
5,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
6,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = Hispanic ",gender = Female ∧ hypertension = No ,0.4568186093171986,0.728385462389325,1.0
7,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = Hispanic ",gender = Female ∧ hypertension = No ,0.4568186093171986,0.728385462389325,1.0
8,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = Hispanic ",gender = Female ∧ hypertension = No ,0.4568186093171986,0.728385462389325,1.0
9,location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ,heart_disease = No ∧ race = Hispanic ,0.8081133613392689,0.9040554775280899,1.0
10,gender = Female ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ,heart_disease = No ∧ race = Hispanic ,0.8081133613392689,0.9040554775280899,1.0
11,"gender = Female ∧ age = [20, 59] ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ",heart_disease = No ∧ race = Hispanic ,0.8081133613392689,0.9040554775280899,1.0
12,"gender = Female ∧ age = [20, 59] ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ",heart_disease = No ∧ race = Hispanic ,0.8081133613392689,0.9040554775280899,1.0
13,"age = [20, 59] ∧ heart_disease = Si ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ diabetes = Si ∧ race = Other ",blood_glucose_level = [200] ,0.8916170292808326,0.9458064758847282,1.0
14,"age = [20, 59] ∧ heart_disease = Si ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ diabetes = Si ∧ race = Other ",blood_glucose_level = [200] ,0.8916170292808326,0.9458064758847282,1.0
15,heart_disease = No ,hypertension = No ,0.9049720985641733,0.5847898501394161,0.9674491689581838
16,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
17,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
18,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
19,heart_disease = No ,"age = [20, 59] ",0.5733901812025832,0.6639233051185529,0.9830054682004855
20,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = Hispanic ",gender = Female ∧ hypertension = No ,0.4568186093171986,0.728385462389325,1.0
21,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = Hispanic ",gender = Female ∧ hypertension = No ,0.4568186093171986,0.728385462389325,1.0
22,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = Hispanic ",gender = Female ∧ hypertension = No ,0.4568186093171986,0.728385462389325,1.0
23,"age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = Hispanic ",gender = Female ∧ hypertension = No ,0.4568186093171986,0.728385462389325,1.0
24,location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ,heart_disease = No ∧ race = Hispanic ,0.8081133613392689,0.9040554775280899,1.0
25,"gender = Female ∧ age = [20, 59] ∧ location = Wisconsin ∧ smoking_history = not current ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ",heart_disease = No ∧ race = Hispanic ,0.8081133613392689,0.9040554775280899,1.0
26,"age = [20, 59] ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ",heart_disease = No ∧ race = Hispanic ,0.8081133613392689,0.9040554775280899,1.0
27,"age = [20, 59] ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ",heart_disease = No ∧ race = Hispanic ,0.8081133613392689,0.9040554775280899,1.0
28,"age = [20, 59] ∧ heart_disease = Si ∧ smoking_history = not current ∧ bmi = [25, 29.99] ∧ diabetes = Si ∧ race = Other ",blood_glucose_level = [200] ,0.8916170292808326,0.9458064758847282,1.0
