,antecedente,consecuente,Jaccard,Coseno,Phi,Kappa
0,"age = [20, 59] ∧ smoking_history = not current ","bmi = [25, 29.99] ",0.182932810201079,0.3597255767763485,1.1465278694270211,1.1103747230461043
1,"age = [20, 59] ∧ smoking_history = not current ","bmi = [25, 29.99] ",0.182932810201079,0.3597255767763485,1.1465278694270211,1.1103747230461043
2,"age = [20, 59] ∧ smoking_history = not current ","bmi = [25, 29.99] ",0.182932810201079,0.3597255767763485,1.1465278694270211,1.1103747230461043
3,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
4,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
5,"hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ",diabetes = No ,0.7580800000000001,0.86742589897379,1.3058563792152356,1.2473468627409274
6,"hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ",diabetes = No ,0.7580800000000001,0.86742589897379,1.3058563792152356,1.2473468627409274
7,"hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ",diabetes = No ,0.7580800000000001,0.86742589897379,1.3058563792152356,1.2473468627409274
8,"age = [20, 59] ∧ hypertension = No ∧ diabetes = No ","bmi = [25, 29.99] ",0.3573842605010461,0.526999266438674,1.0982068103440648,1.0979214026677782
9,"age = [20, 59] ∧ hypertension = No ∧ diabetes = No ","bmi = [25, 29.99] ",0.3573842605010461,0.526999266438674,1.0982068103440648,1.0979214026677782
10,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
11,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
12,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
13,"hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ",diabetes = No ,0.7580800000000001,0.86742589897379,1.3058563792152356,1.2473468627409274
14,"hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ",diabetes = No ,0.7580800000000001,0.86742589897379,1.3058563792152356,1.2473468627409274
15,"age = [20, 59] ∧ hypertension = No ∧ diabetes = No ","bmi = [25, 29.99] ",0.3573842605010461,0.526999266438674,1.0982068103440648,1.0979214026677782
16,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
17,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
18,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
19,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
20,"heart_disease = No ∧ blood_glucose_level = [80, 159] ",diabetes = No ,0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095
21,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
22,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
23,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
24,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
25,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
26,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
27,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
28,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
29,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
30,diabetes = No ,heart_disease = No ,0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622
31,diabetes = No ,heart_disease = No ,0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622
32,diabetes = No ,heart_disease = No ,0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622
33,diabetes = No ,heart_disease = No ,0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622
34,diabetes = No ,heart_disease = No ,0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622
35,hypertension = No ,heart_disease = No ,0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286
36,"age = [20, 59] ∧ hypertension = No ∧ diabetes = No ","bmi = [25, 29.99] ",0.3573842605010461,0.526999266438674,1.0982068103440648,1.0979214026677782
37,"age = [20, 59] ∧ hypertension = No ∧ diabetes = No ","bmi = [25, 29.99] ",0.3573842605010461,0.526999266438674,1.0982068103440648,1.0979214026677782
38,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
39,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
40,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
41,"heart_disease = No ∧ blood_glucose_level = [80, 159] ",diabetes = No ,0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095
42,"hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ",diabetes = No ,0.7580800000000001,0.86742589897379,1.3058563792152356,1.2473468627409274
43,"age = [20, 59] ∧ hypertension = No ∧ diabetes = No ","bmi = [25, 29.99] ",0.3573842605010461,0.526999266438674,1.0982068103440648,1.0979214026677782
44,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
45,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
46,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
47,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
48,"heart_disease = No ∧ blood_glucose_level = [80, 159] ",diabetes = No ,0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095
49,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
50,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
51,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
52,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
53,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
54,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
55,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
56,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
57,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
58,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
59,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
60,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
61,diabetes = No ,heart_disease = No ,0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622
62,diabetes = No ,heart_disease = No ,0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622
63,hypertension = No ,heart_disease = No ,0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286
64,"age = [20, 59] ∧ hypertension = No ∧ diabetes = No ","bmi = [25, 29.99] ",0.3573842605010461,0.526999266438674,1.0982068103440648,1.0979214026677782
65,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
66,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
67,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
68,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
69,"heart_disease = No ∧ blood_glucose_level = [80, 159] ",diabetes = No ,0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095
70,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
71,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
72,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
73,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
74,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
75,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
76,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
77,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
78,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
79,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
80,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
81,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
82,diabetes = No ,heart_disease = No ,0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622
83,diabetes = No ,heart_disease = No ,0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622
84,hypertension = No ,heart_disease = No ,0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286
85,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
86,diabetes = No ,hypertension = No ∧ heart_disease = No ,0.8669682673043367,0.928801358803584,1.247570336680425,1.2458673376279215
