,regla,Jaccard,Coseno,Phi,Kappa,solucion,semilla
0,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Jaccard,0
1,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Coseno,0
2,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Mejor_Phi,0
3,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Mejor_Kappa,0
4,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Rodilla,0
5,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Jaccard,17
6,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Coseno,17
7,"('hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7580800000000001,0.86742589897379,1.3058563792152356,1.2473468627409274,Mejor_Phi,17
8,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Mejor_Kappa,17
9,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Rodilla,17
10,"('heart_disease = No ', 'hypertension = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Jaccard,34
11,"('heart_disease = No ', 'hypertension = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Coseno,34
12,"('bmi = [30] ∧ hbA1c_level = [6.5] ', 'diabetes = Si ')",0.21587267677846617,0.3611179811997062,1.3133290531758839,1.3072877120039517,Mejor_Phi,34
13,"('bmi = [30] ∧ hbA1c_level = [6.5] ', 'diabetes = Si ')",0.21587267677846617,0.3611179811997062,1.3133290531758839,1.3072877120039517,Mejor_Kappa,34
14,"('bmi = [30] ∧ hbA1c_level = [6.5] ', 'diabetes = Si ')",0.21587267677846617,0.3611179811997062,1.3133290531758839,1.3072877120039517,Rodilla,34
15,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Jaccard,51
16,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Mejor_Coseno,51
17,"('hypertension = No ∧ heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7580800000000001,0.86742589897379,1.3058563792152356,1.2473468627409274,Mejor_Phi,51
18,"('heart_disease = No ∧ blood_glucose_level = [80, 159] ', 'diabetes = No ')",0.7951665387973228,0.88847233548567,1.298069979403093,1.2591656948085095,Mejor_Kappa,51
19,"('hypertension = No ', 'heart_disease = No ')",0.9040735208486291,0.9497816849139022,1.125979332808538,1.1192623426038286,Rodilla,51
20,"('heart_disease = No ', 'diabetes = No ')",0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622,Mejor_Jaccard,68
21,"('heart_disease = No ', 'diabetes = No ')",0.9004267967380534,0.9478757664199697,1.1744926842303869,1.1612054934855622,Mejor_Coseno,68
